user_id,signup_date,city_tier,segment,preferred_device,lifetime_sessions,lifetime_orders,first_order_date,last_order_date,repeat_rate,lifetime_revenue,user_value_band
U000001,2025-07-16,1,premium,mobile,3.0,0.0,,,False,0.0,
U000002,2025-12-29,3,regular,mobile,5.0,1.0,2025-11-14T09:34:01,2025-11-14T09:34:01,False,11632.7,high
U000003,2025-11-26,3,value,mobile,2.0,0.0,,,False,0.0,
U000004,2025-09-01,2,value,mobile,5.0,1.0,2025-11-06T14:06:09,2025-11-06T14:06:09,False,9153.61,high
U000005,2025-10-06,1,regular,web,2.0,0.0,,,False,0.0,
U000006,2025-11-09,1,value,web,3.0,0.0,,,False,0.0,
U000007,2025-06-28,2,value,web,2.0,0.0,,,False,0.0,
U000008,2025-10-06,2,premium,mobile,3.0,0.0,,,False,0.0,
U000009,2025-11-24,2,value,mobile,3.0,0.0,,,False,0.0,
U000010,2025-08-01,1,premium,mobile,5.0,0.0,,,False,0.0,
U000011,2025-09-24,2,regular,web,4.0,0.0,,,False,0.0,
U000012,2025-10-13,3,regular,web,5.0,0.0,,,False,0.0,
U000013,2025-11-24,2,regular,mobile,3.0,1.0,2025-12-04T17:09:01,2025-12-04T17:09:01,False,5763.81,high
U000014,2026-01-11,2,value,mobile,3.0,0.0,,,False,0.0,
U000015,2025-12-18,1,regular,web,5.0,0.0,,,False,0.0,
U000016,2025-10-31,2,value,web,1.0,0.0,,,False,0.0,
U000017,2025-10-24,2,premium,web,4.0,2.0,2026-01-15T05:17:35,2025-11-09T03:06:16,True,18172.43,high
U000018,2025-10-28,3,value,web,2.0,0.0,,,False,0.0,
U000019,2025-10-15,3,value,web,5.0,1.0,2025-12-21T04:16:33,2025-12-21T04:16:33,False,7555.56,high
U000020,2025-07-05,3,regular,web,1.0,0.0,,,False,0.0,
U000021,2025-11-17,3,regular,mobile,4.0,0.0,,,False,0.0,
U000022,2025-11-20,3,regular,web,2.0,0.0,,,False,0.0,
U000023,2025-10-09,3,regular,web,4.0,0.0,,,False,0.0,
U000024,2025-12-23,1,value,web,3.0,0.0,,,False,0.0,
U000025,2025-11-11,1,regular,mobile,5.0,0.0,,,False,0.0,
U000026,2025-09-07,2,value,web,2.0,0.0,,,False,0.0,
U000027,2025-06-27,2,value,web,1.0,0.0,,,False,0.0,
U000028,2025-07-05,1,value,web,4.0,0.0,,,False,0.0,
U000029,2025-09-05,3,value,mobile,3.0,0.0,,,False,0.0,
U000030,2025-09-28,2,value,mobile,2.0,0.0,,,False,0.0,
U000031,2025-07-28,2,regular,web,3.0,0.0,,,False,0.0,
U000032,2025-08-02,1,value,web,5.0,0.0,,,False,0.0,
U000033,2025-08-10,2,value,web,7.0,0.0,,,False,0.0,
U000034,2025-12-04,1,regular,mobile,6.0,0.0,,,False,0.0,
U000035,2025-12-02,3,value,mobile,3.0,0.0,,,False,0.0,
U000036,2025-09-11,2,regular,web,2.0,0.0,,,False,0.0,
U000037,2025-07-29,3,premium,web,4.0,1.0,2025-11-29T23:36:12,2025-11-29T23:36:12,False,4987.15,high
U000038,2025-07-16,2,regular,mobile,2.0,0.0,,,False,0.0,
U000039,2025-07-11,2,premium,mobile,3.0,0.0,,,False,0.0,
U000040,2025-09-13,2,value,web,3.0,1.0,2026-01-18T07:26:40,2026-01-18T07:26:40,False,7716.68,high
U000041,2025-07-03,3,value,web,6.0,1.0,2025-11-06T12:43:35,2025-11-06T12:43:35,False,7521.55,high
U000042,2025-09-01,3,regular,web,5.0,1.0,2026-01-11T04:13:19,2026-01-11T04:13:19,False,595.56,medium
U000043,2026-01-11,1,regular,mobile,3.0,0.0,,,False,0.0,
U000044,2025-10-08,3,regular,mobile,1.0,0.0,,,False,0.0,
U000045,2025-12-13,1,value,mobile,2.0,0.0,,,False,0.0,
U000046,2025-07-20,3,regular,mobile,2.0,0.0,,,False,0.0,
U000047,2025-08-18,1,regular,web,4.0,1.0,2026-01-17T14:03:09,2026-01-17T14:03:09,False,4842.26,high
U000048,2026-01-08,2,value,web,5.0,0.0,,,False,0.0,
U000049,2025-09-11,3,value,web,5.0,0.0,,,False,0.0,
U000050,2025-11-06,1,premium,mobile,3.0,0.0,,,False,0.0,
U000051,2026-01-14,2,value,mobile,4.0,0.0,,,False,0.0,
U000052,2025-10-17,2,regular,web,3.0,0.0,,,False,0.0,
U000053,2025-08-26,1,regular,web,5.0,1.0,2025-11-26T05:37:14,2025-11-26T05:37:14,False,4816.43,high
U000054,2025-10-13,3,regular,mobile,3.0,0.0,,,False,0.0,
U000055,2025-07-04,3,regular,mobile,1.0,0.0,,,False,0.0,
U000056,2025-07-17,3,premium,mobile,2.0,0.0,,,False,0.0,
U000057,2025-06-24,2,value,web,4.0,1.0,2025-12-21T11:28:23,2025-12-21T11:28:23,False,3360.75,high
U000058,2025-12-26,2,value,mobile,4.0,1.0,2025-11-30T03:40:46,2025-11-30T03:40:46,False,13218.46,high
U000059,2025-11-11,1,regular,mobile,2.0,0.0,,,False,0.0,
U000060,2025-08-25,1,regular,mobile,5.0,0.0,,,False,0.0,
