order_id,session_id,user_id,order_ts,payment_method,net_amount,gross_amount,discount_amount,total_items,distinct_products,top_category,category_mix,avg_rating,total_cost,margin_proxy
O0000001,S0000015,U000739,2026-01-12T14:51:51,UPI,4095.09,4145.06,49.97,5,3,Books,"{""Sports"": 0.333, ""Home"": 0.333, ""Books"": 0.333}",4.233333333333333,2580.45,1514.6400000000003
O0000002,S0000060,,2025-11-19T07:56:21,NetBanking,4151.41,4302.5,151.09,5,3,Books,"{""Books"": 0.333, ""Sports"": 0.333, ""Fashion"": 0.333}",3.9,2819.76,1331.6499999999996
O0000003,S0000073,,2025-12-08T05:40:42,NetBanking,6602.83,7199.78,596.95,2,1,Books,"{""Books"": 1.0}",4.1,4502.68,2100.1499999999996
O0000004,S0000081,U001896,2025-12-09T11:00:54,Wallet,1304.13,1262.26,75.4,2,1,Electronics,"{""Electronics"": 1.0}",4.9,614.5,689.6300000000001
O0000005,S0000084,U002032,2025-11-01T02:02:38,UPI,12399.47,13486.98,1087.51,7,4,Sports,"{""Sports"": 0.75, ""Fashion"": 0.25}",4.1,8519.26,3880.209999999999
O0000006,S0000099,U001732,2025-11-01T07:42:33,COD,14081.92,15390.66,1308.74,2,1,Beauty,"{""Beauty"": 1.0}",3.8,9608.34,4473.58
O0000007,S0000108,U000900,2025-10-25T19:37:15,Card,7887.78,8550.28,662.5,6,3,Fashion,"{""Fashion"": 0.667, ""Beauty"": 0.333}",4.3999999999999995,5416.18,2471.5999999999995
O0000008,S0000129,U000899,2026-01-11T12:40:27,NetBanking,4367.9,4714.45,346.55,4,2,Fashion,"{""Fashion"": 0.5, ""Sports"": 0.5}",3.9000000000000004,2885.94,1481.9599999999996
O0000009,S0000154,,2026-01-04T13:54:35,Wallet,6504.65,7305.27,800.62,4,2,Beauty,"{""Beauty"": 0.5, ""Electronics"": 0.5}",3.8499999999999996,3963.25,2541.3999999999996
O0000010,S0000165,U000486,2025-12-15T13:59:08,Wallet,7418.17,7847.5,429.33,4,2,Beauty,"{""Fashion"": 0.5, ""Beauty"": 0.5}",4.55,4508.48,2909.6900000000005
