session_id,user_id,session_start_ts,device,channel,campaign_id,variant,is_new_user,has_productview,has_addtocart,has_begincheckout,has_paymentattempt,has_purchase,first,last,min,session_duration_sec,time_to_addtocart_sec,time_to_begincheckout_sec,time_to_purchase_sec,net_amount
S0000001,U001627,2025-10-26T15:56:31,web,organic,C025,A,1,False,False,False,False,False,2025-10-26 15:57:00,2025-10-26 15:57:00,2025-10-26 15:57:00,0.0,0.0,0.0,0.0,0.0
S0000002,U001038,2025-12-09T21:56:53,mobile,paid_social,C037,,0,False,False,False,False,False,2025-12-09 21:57:20,2025-12-09 21:57:20,2025-12-09 21:57:20,0.0,0.0,0.0,0.0,0.0
S0000003,,2025-11-24T21:24:21,web,organic,C034,,0,True,True,True,True,True,2025-11-24 21:24:50,2025-11-24 21:25:13,2025-11-24 21:24:50,23.0,0.0,0.0,0.0,0.0
S0000004,U001072,2025-12-02T06:51:38,mobile,organic,C013,,0,False,False,False,False,False,2025-12-02 06:53:06,2025-12-02 06:53:06,2025-12-02 06:53:06,0.0,0.0,0.0,0.0,0.0
S0000005,U001301,2025-11-28T16:03:05,mobile,paid_social,C004,,1,True,True,True,True,True,2025-11-28 16:04:04,2025-11-28 16:05:44,2025-11-28 16:04:04,100.0,0.0,0.0,0.0,0.0
S0000006,U001775,2025-11-04T05:23:59,web,email,C005,,1,False,False,False,False,False,2025-11-04 05:25:42,2025-11-04 05:25:42,2025-11-04 05:25:42,0.0,0.0,0.0,0.0,0.0
S0000007,U001565,2025-11-10T06:23:02,web,organic,C009,A,1,False,False,False,False,False,2025-11-10 06:24:35,2025-11-10 06:24:35,2025-11-10 06:24:35,0.0,0.0,0.0,0.0,0.0
S0000008,U000613,2025-10-27T06:33:38,mobile,email,C025,,0,True,True,True,True,True,2025-10-27 06:34:59,2025-10-27 06:36:31,2025-10-27 06:34:59,92.0,0.0,0.0,0.0,0.0
S0000009,U000544,2025-10-31T19:35:34,mobile,organic,C020,,0,True,True,True,True,True,2025-10-31 19:36:50,2025-10-31 19:37:14,2025-10-31 19:36:50,24.0,0.0,0.0,0.0,0.0
S0000010,,2026-01-17T10:49:44,web,organic,C012,,0,False,False,False,False,False,2026-01-17 10:50:44,2026-01-17 10:50:44,2026-01-17 10:50:44,0.0,0.0,0.0,0.0,0.0
S0000011,U001420,2025-11-15T14:54:56,web,organic,C008,B,0,True,True,True,True,True,2025-11-15 14:56:01,2025-11-15 14:57:15,2025-11-15 14:56:01,74.0,0.0,0.0,0.0,0.0
S0000012,U000809,2025-11-18T01:45:04,mobile,organic,C021,,0,False,False,False,False,False,2025-11-18 01:45:13,2025-11-18 01:45:13,2025-11-18 01:45:13,0.0,0.0,0.0,0.0,0.0
S0000013,U001845,2025-11-01T21:07:32,web,organic,C039,,0,False,False,False,False,False,2025-11-01 21:07:54,2025-11-01 21:07:54,2025-11-01 21:07:54,0.0,0.0,0.0,0.0,0.0
S0000014,U000921,2025-12-28T09:43:51,web,paid_social,C031,,0,True,True,True,True,True,2025-12-28 09:45:32,2025-12-28 09:45:55,2025-12-28 09:45:32,23.0,0.0,0.0,0.0,0.0
S0000015,U000739,2026-01-12T14:43:28,web,email,C011,A,0,True,True,True,True,True,2026-01-12 14:44:10,2026-01-12 14:51:02,2026-01-12 14:44:10,412.0,114.0,233.0,412.0,4095.09
S0000016,U001223,2025-12-31T12:26:14,web,organic,C023,A,0,True,True,True,True,True,2025-12-31 12:27:07,2025-12-31 12:28:27,2025-12-31 12:27:07,80.0,80.0,0.0,0.0,0.0
S0000017,U000425,2025-12-15T13:49:34,web,organic,C021,A,0,True,True,True,True,True,2025-12-15 13:49:49,2025-12-15 13:49:56,2025-12-15 13:49:49,7.0,0.0,0.0,0.0,0.0
S0000018,U001531,2026-01-02T15:09:33,mobile,search,C033,,0,True,True,True,True,True,2026-01-02 15:10:08,2026-01-02 15:10:17,2026-01-02 15:10:08,9.0,0.0,0.0,0.0,0.0
S0000019,U001974,2025-11-26T19:42:48,mobile,search,C014,,0,True,True,True,True,True,2025-11-26 19:44:18,2025-11-26 19:44:59,2025-11-26 19:44:18,41.0,0.0,0.0,0.0,0.0
S0000020,U002080,2026-01-06T19:05:25,web,email,C014,B,0,False,False,False,False,False,2026-01-06 19:06:45,2026-01-06 19:06:45,2026-01-06 19:06:45,0.0,0.0,0.0,0.0,0.0
S0000021,U000983,2026-01-01T07:22:36,web,organic,C018,,0,True,True,True,True,True,2026-01-01 07:24:11,2026-01-01 07:25:31,2026-01-01 07:24:11,80.0,0.0,0.0,0.0,0.0
S0000022,U000592,2025-10-21T14:18:04,mobile,paid_social,C007,,0,True,True,True,True,True,2025-10-21 14:18:14,2025-10-21 14:19:25,2025-10-21 14:18:14,71.0,0.0,0.0,0.0,0.0
S0000023,U001054,2025-12-04T08:12:41,web,search,C035,B,1,True,True,True,True,True,2025-12-04 08:13:49,2025-12-04 08:15:17,2025-12-04 08:13:49,88.0,0.0,0.0,0.0,0.0
S0000024,U000229,2025-11-14T06:08:52,mobile,email,C016,,1,True,True,True,True,True,2025-11-14 06:10:29,2025-11-14 06:11:19,2025-11-14 06:10:29,50.0,0.0,0.0,0.0,0.0
S0000025,U001470,2025-10-29T04:50:21,web,organic,C035,A,1,True,True,True,True,True,2025-10-29 04:51:18,2025-10-29 04:51:50,2025-10-29 04:51:18,32.0,0.0,0.0,0.0,0.0
S0000026,U000944,2026-01-05T14:21:34,mobile,organic,C017,,0,True,True,True,True,True,2026-01-05 14:23:12,2026-01-05 14:27:29,2026-01-05 14:23:12,257.0,145.0,165.0,0.0,0.0
