session_id,session_start_ts,variant,device,channel,segment,is_new_user,has_productview,has_addtocart,has_begincheckout,has_paymentattempt,has_purchase,net_amount
S0000001,2025-10-26T15:56:31,A,web,organic,value,1,False,False,False,False,False,0.0
S0000007,2025-11-10T06:23:02,A,web,organic,value,1,False,False,False,False,False,0.0
S0000011,2025-11-15T14:54:56,B,web,organic,premium,0,True,False,False,False,False,0.0
S0000015,2026-01-12T14:43:28,A,web,email,regular,0,True,True,True,True,True,4095.09
S0000016,2025-12-31T12:26:14,A,web,organic,regular,0,True,True,False,False,False,0.0
S0000017,2025-12-15T13:49:34,A,web,organic,value,0,True,False,False,False,False,0.0
S0000020,2026-01-06T19:05:25,B,web,email,regular,0,False,False,False,False,False,0.0
S0000023,2025-12-04T08:12:41,B,web,search,value,1,True,False,False,False,False,0.0
S0000025,2025-10-29T04:50:21,A,web,organic,value,1,True,False,False,False,False,0.0
S0000027,2025-10-22T03:44:50,A,web,organic,value,1,False,False,False,False,False,0.0
S0000039,2025-11-24T08:21:58,A,web,organic,regular,0,True,False,False,False,False,0.0
S0000040,2026-01-18T20:10:33,B,web,referral,regular,0,True,False,False,False,False,0.0
S0000041,2025-11-06T07:12:57,B,web,paid_social,regular,0,False,False,False,False,False,0.0
S0000042,2025-10-28T08:49:38,A,web,organic,value,0,True,True,False,False,False,0.0
S0000048,2025-12-06T09:05:40,A,web,organic,regular,1,True,False,False,False,False,0.0
S0000049,2025-11-24T23:28:18,A,web,referral,premium,0,True,False,False,False,False,0.0
S0000050,2025-12-12T07:09:46,B,web,search,regular,0,True,False,False,False,False,0.0
S0000051,2025-12-18T08:17:21,B,web,email,regular,0,False,False,False,False,False,0.0
S0000054,2025-12-20T06:32:44,A,web,paid_social,premium,0,True,False,False,False,False,0.0
S0000055,2026-01-09T22:07:06,B,web,paid_social,regular,1,False,False,False,False,False,0.0
S0000058,2026-01-15T13:00:13,A,web,paid_social,value,0,True,False,False,False,False,0.0
S0000063,2025-11-29T21:33:29,A,web,email,value,1,True,False,False,False,False,0.0
S0000064,2025-12-27T21:38:24,A,web,search,premium,0,True,False,False,False,False,0.0
S0000068,2026-01-08T20:49:38,B,web,organic,regular,0,True,False,False,False,False,0.0
S0000072,2025-12-01T04:16:41,A,web,referral,premium,1,True,True,False,False,False,0.0
S0000075,2025-12-19T02:48:38,B,web,paid_social,regular,1,False,False,False,False,False,0.0
S0000076,2025-12-22T20:24:40,B,web,organic,regular,0,False,False,False,False,False,0.0
S0000077,2025-10-29T02:18:16,B,web,paid_social,regular,1,True,False,False,False,False,0.0
S0000084,2025-11-01T01:54:44,B,web,search,regular,0,True,True,True,True,True,12399.47
S0000096,2025-11-09T21:52:04,A,web,email,regular,1,True,False,False,False,False,0.0
S0000098,2025-11-11T18:03:42,A,web,paid_social,value,1,False,False,False,False,False,0.0
S0000099,2025-11-01T07:34:44,A,web,email,regular,0,True,True,True,True,True,14081.92
S0000100,2025-10-24T14:30:41,B,web,organic,value,0,True,False,False,False,False,0.0
S0000101,2025-10-25T11:40:32,B,web,paid_social,value,1,True,False,False,False,False,0.0
S0000103,2025-12-15T04:18:23,B,web,organic,value,1,False,False,False,False,False,0.0
S0000104,2025-10-23T00:41:59,B,web,referral,regular,1,True,False,False,False,False,0.0
S0000105,2025-11-16T05:56:34,B,web,referral,premium,0,False,False,False,False,False,0.0
S0000108,2025-10-25T19:30:06,B,web,organic,value,0,True,True,True,True,True,7887.78
S0000109,2025-12-15T02:51:59,A,web,search,premium,1,True,False,False,False,False,0.0
S0000110,2025-12-22T09:34:21,A,web,email,value,0,False,False,False,False,False,0.0
S0000115,2025-10-26T12:56:26,B,web,organic,value,1,True,False,False,False,False,0.0
S0000120,2025-12-17T02:31:13,B,web,paid_social,regular,1,False,False,False,False,False,0.0
S0000124,2025-10-23T20:11:15,A,web,search,value,1,False,False,False,False,False,0.0
S0000125,2025-10-21T22:04:25,B,web,organic,value,1,False,False,False,False,False,0.0
S0000127,2026-01-09T00:33:48,B,web,organic,value,0,True,False,False,False,False,0.0
S0000128,2026-01-03T05:15:44,A,web,organic,value,1,False,False,False,False,False,0.0
S0000129,2026-01-11T12:35:42,B,web,paid_social,regular,0,True,True,True,True,True,4367.9
S0000131,2025-11-30T19:52:04,B,web,email,regular,0,True,False,False,False,False,0.0
S0000132,2025-11-25T04:02:09,B,web,search,value,1,False,False,False,False,False,0.0
S0000134,2026-01-11T07:08:31,B,web,search,regular,1,False,False,False,False,False,0.0
S0000137,2025-12-06T19:20:16,B,web,organic,regular,0,True,True,False,False,False,0.0
S0000141,2025-12-24T09:50:19,A,web,paid_social,value,0,True,True,False,False,False,0.0
S0000147,2026-01-16T07:13:42,A,web,referral,value,0,False,False,False,False,False,0.0
S0000148,2025-12-13T23:29:32,A,web,organic,premium,0,False,False,False,False,False,0.0
S0000150,2025-11-07T01:16:44,B,web,organic,value,1,True,False,False,False,False,0.0
S0000153,2025-12-10T05:14:41,A,web,organic,premium,0,False,False,False,False,False,0.0
S0000157,2025-10-24T16:38:21,A,web,email,regular,0,True,True,False,False,False,0.0
S0000162,2025-10-30T23:02:04,B,web,paid_social,value,0,False,False,False,False,False,0.0
S0000164,2025-12-19T18:18:15,B,web,email,regular,0,False,False,False,False,False,0.0
S0000165,2025-12-15T13:50:18,A,web,organic,regular,1,True,True,True,True,True,7418.17
S0000166,2025-12-07T02:34:53,B,web,email,value,1,False,False,False,False,False,0.0
S0000167,2025-12-05T11:16:52,B,web,search,value,0,True,False,False,False,False,0.0
S0000172,2025-10-26T15:54:56,B,web,search,value,0,True,False,False,False,False,0.0
S0000173,2025-11-28T13:24:04,A,web,search,regular,1,True,False,False,False,False,0.0
S0000175,2025-12-31T04:39:39,B,web,organic,value,0,False,False,False,False,False,0.0
S0000179,2026-01-03T07:28:36,B,web,referral,regular,0,False,False,False,False,False,0.0
S0000181,2025-11-12T22:00:19,A,web,email,value,0,False,False,False,False,False,0.0
S0000182,2025-11-08T15:48:09,B,web,search,regular,1,True,False,False,False,False,0.0
S0000183,2025-11-22T15:09:37,B,web,organic,regular,1,True,True,True,True,False,0.0
S0000185,2026-01-07T00:24:08,A,web,organic,value,0,False,False,False,False,False,0.0
S0000187,2025-11-22T06:01:26,B,web,search,regular,0,False,False,False,False,False,0.0
S0000189,2025-11-01T11:29:04,A,web,organic,regular,0,True,False,False,False,False,0.0
S0000190,2025-12-18T14:54:24,B,web,referral,regular,0,False,False,False,False,False,0.0
S0000194,2025-12-27T18:56:34,A,web,referral,regular,0,True,True,True,True,True,5242.21
S0000196,2025-10-24T23:14:21,A,web,search,premium,1,True,False,False,False,False,0.0
S0000197,2026-01-11T19:15:28,B,web,search,value,0,True,False,False,False,False,0.0
S0000198,2025-12-12T04:00:39,B,web,organic,regular,0,True,False,False,False,False,0.0
S0000205,2026-01-01T03:26:03,B,web,paid_social,value,0,False,False,False,False,False,0.0
S0000207,2026-01-12T07:51:29,B,web,referral,regular,0,True,False,False,False,False,0.0
S0000208,2025-11-10T17:37:19,B,web,paid_social,regular,1,True,False,False,False,False,0.0
S0000209,2025-11-08T15:06:44,B,web,organic,value,1,True,True,True,True,False,0.0
S0000211,2025-12-05T13:35:20,A,web,organic,regular,1,True,False,False,False,False,0.0
S0000212,2025-12-14T08:45:51,A,web,referral,regular,1,True,True,True,True,True,5862.93
S0000216,2025-11-19T03:19:46,B,web,paid_social,value,1,False,False,False,False,False,0.0
S0000217,2026-01-06T17:59:43,B,web,email,value,0,False,False,False,False,False,0.0
S0000219,2025-12-17T12:01:29,A,web,organic,regular,0,False,False,False,False,False,0.0
S0000232,2025-10-30T01:18:53,B,web,search,premium,0,True,True,True,True,True,9639.43
S0000241,2025-11-08T21:12:10,B,web,search,regular,0,True,False,False,False,False,0.0
S0000246,2025-12-29T12:16:50,A,web,organic,value,1,True,False,False,False,False,0.0
S0000250,2025-12-31T05:07:25,B,web,paid_social,value,0,False,False,False,False,False,0.0
S0000251,2025-12-12T00:21:16,A,web,paid_social,value,0,True,False,False,False,False,0.0
S0000254,2026-01-03T03:30:10,A,web,organic,regular,0,True,False,False,False,False,0.0
S0000255,2025-11-12T03:17:25,B,web,paid_social,value,0,False,False,False,False,False,0.0
